x y z
0.060606 4.747475 1.030281
0.060606 4.797980 1.074597
0.060606 4.848485 1.116172
0.060606 4.898990 1.154901
0.060606 4.949495 1.190684
0.060606 5.000000 1.223431
0.080808 0.000000 0.919280
0.080808 0.050505 0.867815
0.080808 0.101010 0.814138
0.080808 0.151515 0.758384
0.080808 0.202020 0.700696
0.080808 0.252525 0.641222
0.080808 0.303030 0.580112
0.080808 0.353535 0.517522
0.080808 0.404040 0.453613
0.080808 0.454545 0.388547
0.080808 0.505051 0.322490
0.080808 0.555556 0.255611
0.080808 0.606061 0.188080
0.080808 0.656566 0.120069
0.080808 0.707071 0.051752
0.080808 0.757576 -0.016697
0.080808 0.808081 -0.085103
0.080808 0.858586 -0.153293
0.080808 0.909091 -0.221091
0.080808 0.959596 -0.288326
0.080808 1.010101 -0.354825
0.080808 1.060606 -0.420419
0.080808 1.111111 -0.484942
0.080808 1.161616 -0.548227
0.080808 1.212121 -0.610115
0.080808 1.262626 -0.670446
0.080808 1.313131 -0.729068
0.080808 1.363636 -0.785830
0.080808 1.414141 -0.840589
0.080808 1.464646 -0.893204
0.080808 1.515152 -0.943540
0.080808 1.565657 -0.991471
0.080808 1.616162 -1.036873
0.080808 1.666667 -1.079631
0.080808 1.717172 -1.119636
0.080808 1.767677 -1.156785
0.080808 1.818182 -1.190984
0.080808 1.868687 -1.222146
0.080808 1.919192 -1.250192
0.080808 1.969697 -1.275049
0.080808 2.020202 -1.296654
0.080808 2.070707 -1.314953
0.080808 2.121212 -1.329898
0.080808 2.171717 -1.341451
0.080808 2.222222 -1.349584
0.080808 2.272727 -1.354275
0.080808 2.323232 -1.355512
0.080808 2.373737 -1.353292
0.080808 2.424242 -1.347622
0.080808 2.474747 -1.338514
0.080808 2.525253 -1.325993
0.080808 2.575758 -1.310090
0.080808 2.626263 -1.290847
0.080808 2.676768 -1.268311
0.080808 2.727273 -1.242541
0.080808 2.777778 -1.213602
0.080808 2.828283 -1.181569
0.080808 2.878788 -1.146522
0.080808 2.929293 -1.108551
0.080808 2.979798 -1.067753
0.080808 3.030303 -1.024232
0.080808 3.080808 -0.978099
0.080808 3.131313 -0.929472
0.080808 3.181818 -0.878474
0.080808 3.232323 -0.825236
0.080808 3.282828 -0.769893
0.080808 3.333333 -0.712587
0.080808 3.383838 -0.653464
0.080808 3.434343 -0.592675
0.080808 3.484848 -0.530374
0.080808 3.535354 -0.466720
0.080808 3.585859 -0.401876
0.080808 3.636364 -0.336007
0.080808 3.686869 -0.269282
0.080808 3.737374 -0.201869
0.080808 3.787879 -0.133942
0.080808 3.838384 -0.065673
0.080808 3.888889 0.002763
0.080808 3.939394 0.071192
0.080808 3.989899 0.139440
0.080808 4.040404 0.207332
0.080808 4.090909 0.274695
0.080808 4.141414 0.341358
0.080808 4.191919 0.407150
0.080808 4.242424 0.471904
0.080808 4.292929 0.535455
0.080808 4.343434 0.597639
0.080808 4.393939 0.658300
0.080808 4.444444 0.717282
0.080808 4.494949 0.774435
0.080808 4.545455 0.829613
0.080808 4.595960 0.882675
0.080808 4.646465 0.933486
0.080808 4.696970 0.981917
0.080808 4.747475 1.027843
0.080808 4.797980 1.071148
0.080808 4.848485 1.111722
0.080808 4.898990 1.149460
0.080808 4.949495 1.184267
0.080808 5.000000 1.216054
0.101010 0.000000 0.899161
0.101010 0.050505 0.847840
0.101010 0.101010 0.794357
0.101010 0.151515 0.738849
0.101010 0.202020 0.681456
0.101010 0.252525 0.622325
0.101010 0.303030 0.561607
0.101010 0.353535 0.499457
0.101010 0.404040 0.436033
0.101010 0.454545 0.371497
0.101010 0.505051 0.306014
0.101010 0.555556 0.239751
0.101010 0.606061 0.172876
0.101010 0.656566 0.105560
0.101010 0.707071 0.037975
0.101010 0.757576 -0.029707
0.101010 0.808081 -0.097314
0.101010 0.858586 -0.164672
0.101010 0.909091 -0.231610
0.101010 0.959596 -0.297957
0.101010 1.010101 -0.363544
0.101010 1.060606 -0.428205
0.101010 1.111111 -0.491773
0.101010 1.161616 -0.554088
0.101010 1.212121 -0.614989
0.101010 1.262626 -0.674322
0.101010 1.313131 -0.731935
0.101010 1.363636 -0.787682
0.101010 1.414141 -0.841419
0.101010 1.464646 -0.893011
0.101010 1.515152 -0.942326
